@relation spy_train_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

62.079421,-14.194915,-0.043044,76.611151,0.405,80.298387,82.382289,107.9158,107.8299,107.877727,107.847593,107.832933,25.605378,108.02266,107.63714,0.376664,0,80,0
45.667562,-72.403561,-0.045993,-32.859808,0.051,57.84537,74.04757,107.8974,107.835,107.863382,107.830031,107.8585,25.146102,108.016088,107.653912,0.047354,0,70,0
43.848333,-79.821958,-0.049774,-45.457485,0.034,39.794883,59.31288,107.8622,107.8384,107.843564,107.811116,107.873433,24.732754,108.009629,107.667171,0.031572,90,60,1
57.188709,-27.596439,-0.038129,9.946386,0.143,40.646205,46.095486,107.847,107.8527,107.855127,107.827641,107.878833,24.152059,108.018825,107.686575,0.132704,80,50,0
38.958059,-81.488934,-0.05346,-173.68773,-0.169,38.187319,39.542802,107.7794,107.8358,107.807364,107.784433,107.865667,26.207467,108.060628,107.610972,-0.156831,100,40,0
30.975547,-78.121137,-0.08297,-261.135638,-0.447,39.153612,39.329045,107.6664,107.7911,107.7214,107.707809,107.828033,29.908688,108.154012,107.428188,-0.414618,100,30,1
32.663895,-75.030902,-0.103151,-136.65051,-0.455,23.303556,33.548162,107.5938,107.7456,107.648109,107.649662,107.774367,31.469917,108.178431,107.312769,-0.42191,90,20,0
27.194605,-93.950178,-0.132544,-128.326902,-0.699,18.707387,27.054852,107.4892,107.6757,107.549455,107.568451,107.706333,33.662267,108.200848,107.150552,-0.64781,100,10,0
23.754601,-91.699605,-0.16555,-123.345873,-0.919,14.006533,18.672492,107.3206,107.5838,107.437327,107.475823,107.616067,36.408061,108.181772,106.985828,-0.851099,100,0,0
23.188767,-93.96728,-0.191517,-100.6256,-0.894,9.084341,13.932754,107.2094,107.4944,107.337364,107.395492,107.5098,38.879275,108.126163,106.862637,-0.82833,90,0,0
19.974525,-97.718978,-0.221804,-112.225981,-1.046,8.293397,10.461423,107.1132,107.3898,107.226018,107.30213,107.398767,41.76394,108.045673,106.733927,-0.969165,100,10,1
26.251459,-89.324818,-0.236305,-96.314017,-0.785,12.418732,9.932156,107.0288,107.3113,107.148964,107.241015,107.2925,44.387443,107.963356,106.659244,-0.728532,100,0,1
34.837606,-77.737226,-0.234842,-55.726572,-0.633,28.162903,16.291677,107.0068,107.248,107.109273,107.214103,107.194667,44.331815,107.847517,106.648483,-0.587602,90,10,1
37.018772,-73.822976,-0.228307,-17.47158,-0.775,52.408616,30.99675,107.0204,107.1705,107.087273,107.198266,107.116533,42.92738,107.583012,106.757988,-0.718244,80,0,1
40.837087,-45.99359,-0.215879,31.226486,-0.404,72.491182,51.0209,107.0508,107.1301,107.090091,107.196036,107.071567,40.956415,107.435618,106.824582,-0.3755,70,0,1
42.98525,-40.705128,-0.20105,53.067892,-0.144,82.660674,69.186824,107.1182,107.1157,107.106255,107.200211,107.056367,39.182547,107.387685,106.843715,-0.134124,60,10,1
51.919774,-4.744526,-0.175014,125.057623,-0.017,89.68458,81.612145,107.1992,107.114,107.152673,107.231264,107.0707,35.932511,107.379286,106.848714,-0.01583,50,0,1
53.310341,-2.836879,-0.150548,145.664628,0.194,94.235967,88.860407,107.26,107.1334,107.204127,107.261398,107.109233,32.580423,107.446032,106.820768,0.180965,40,100,0
49.687036,-13.297872,-0.13437,93.720792,0.279,88.965249,90.961932,107.3022,107.1613,107.241327,107.275325,107.158467,30.282421,107.491687,106.830913,0.260604,30,90,1
59.695255,-2.288984,-0.104687,123.156141,0.498,88.301579,90.500932,107.3714,107.2111,107.308727,107.321993,107.216967,28.108465,107.595444,106.826756,0.465273,20,100,1
62.193457,-2.242744,-0.075612,131.795764,0.708,88.566341,88.611057,107.4456,107.2819,107.377618,107.370722,107.282767,26.797005,107.658428,106.905372,0.662413,10,100,0
61.608223,-8.63836,-0.052609,120.517618,0.616,91.874819,89.580913,107.4878,107.3435,107.432182,107.409136,107.344367,25.984023,107.693788,106.993212,0.575884,0,100,0
54.424228,-28.318584,-0.042044,73.257288,0.388,78.516425,86.319195,107.5046,107.3823,107.457182,107.422202,107.395267,24.469707,107.697169,107.067431,0.362302,0,90,1
57.63097,-19.649805,-0.028581,64.286368,0.413,69.313421,79.901555,107.545,107.4236,107.485855,107.44362,107.442767,23.106823,107.699637,107.147563,0.385524,0,80,1
61.085739,-7.068607,-0.012363,87.362171,0.421,68.00017,71.943338,107.56,107.4657,107.5192,107.473326,107.485733,22.86215,107.710607,107.220793,0.392775,0,100,0
52.679915,-32.758621,-0.008928,37.638648,0.27,52.574405,63.295998,107.5398,107.4927,107.523436,107.476175,107.5138,21.86065,107.674183,107.311217,0.251821,0,90,0
