@relation spy_devset_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

60.277835,-57.894737,0.085463,-42.635659,0.0081,26.666667,27.953216,91.75262,91.76477,91.760278,91.748226,91.76666,80.518788,91.812854,91.716686,0.008828,20,20,1
62.3329,-47.368421,0.081794,13.888889,0.0405,44.444444,31.481481,91.7591,91.76882,91.762193,91.753148,91.76369,80.052341,91.812769,91.724871,0.044149,10,10,1
63.385287,-40,0.078633,58.156028,-0.0162,77.777778,49.62963,91.76234,91.7672,91.764844,91.758649,91.76099,79.632539,91.807538,91.726862,-0.017647,0,0,0
61.47683,-50,0.074615,97.222222,-0.0081,77.777778,66.666667,91.76558,91.76639,91.766316,91.761676,91.75991,79.803987,91.805706,91.727074,-0.008825,70,100,1
63.892715,-30,0.071908,93.333333,-0.0162,73.333333,76.296296,91.77692,91.76477,91.770882,91.767099,91.76153,77.92359,91.79801,91.73153,-0.017646,60,90,0
63.892715,-36.363636,0.068968,132.075472,0.0324,58.518519,69.876543,91.7834,91.76801,91.775742,91.771535,91.76666,76.663536,91.804559,91.731461,0.03531,50,100,0
61.511516,-45.454545,0.065233,56.410256,0.0405,56.666667,62.839506,91.78502,91.77206,91.77854,91.773693,91.77206,74.570459,91.805418,91.738702,0.044145,40,90,0
59.065628,-54.545455,0.060917,23.415978,0.0081,44.444444,53.209877,91.7834,91.77287,91.779129,91.773985,91.77611,71.743696,91.80611,91.73963,0.008827,30,80,0
59.065628,-54.545455,0.056841,13.605442,0.0162,37.037037,46.049383,91.7834,91.77449,91.779571,91.774224,91.77962,69.19961,91.806441,91.742539,0.017655,20,70,1
60.981076,-45.454545,0.053646,37.037037,0.0486,34.722222,38.734568,91.78178,91.77935,91.781191,91.775892,91.78232,66.909932,91.797462,91.761238,0.052979,10,60,0
57.967221,-66.666667,0.049885,-73.333333,0.0162,36.944444,36.234568,91.77854,91.78097,91.780455,91.775785,91.78259,63.727203,91.793623,91.768317,0.017655,0,50,1
63.912389,-33.333333,0.048309,81.395349,0.0243,59.166667,43.611111,91.78178,91.7834,91.783842,91.780115,91.78232,61.372489,91.7996,91.7672,0.026478,30,40,1
65.708758,-22.222222,0.047169,205.128205,0.0243,71.666667,55.925926,91.78826,91.78583,91.78826,91.78513,91.78286,60.494171,91.807625,91.764035,0.026475,20,100,1
70.58885,-9.090909,0.047678,200,0.0567,88.333333,73.055556,91.7996,91.7915,91.796655,91.793652,91.78556,60.33517,91.825481,91.757519,0.061781,10,100,0
60.950943,-40,0.045594,110.311751,0.0162,75,78.333333,91.80446,91.79312,91.7996,91.796206,91.78907,60.19207,91.828464,91.757776,0.017649,0,100,0
58.017086,-50,0.042796,14.388489,0.0081,64.814815,76.049383,91.80932,91.79393,91.800778,91.796823,91.79366,56.130651,91.829459,91.758401,0.008824,50,90,0
58.017086,-50,0.040116,-2.544529,0.0162,47.314815,62.376543,91.80932,91.79555,91.801809,91.797328,91.79879,52.475373,91.830483,91.760617,0.01765,40,80,0
54.762777,-60,0.036913,-35.230352,0.0162,35.648148,49.259259,91.80608,91.79717,91.801073,91.796268,91.80284,48.337057,91.82961,91.76473,0.017652,30,70,0
33.736558,-76.190476,0.027521,-241.176471,-0.0648,28.769841,37.244268,91.78178,91.79069,91.785315,91.780674,91.80176,48.017395,91.851499,91.729881,-0.070607,100,60,0
29.90873,-90.47619,0.017911,-195.524146,-0.0972,19.973545,28.130511,91.75748,91.78097,91.766316,91.763497,91.79474,47.7297,91.868525,91.693415,-0.105902,90,50,1
35.34291,-80.952381,0.011469,-119.860017,-0.0729,19.973545,22.905644,91.73804,91.77368,91.752031,91.752389,91.78367,47.470774,91.873228,91.674132,-0.079433,80,40,1
38.012837,-76.190476,0.006938,-80.511663,-0.0891,22.453704,20.800265,91.72022,91.76477,91.740544,91.744772,91.76882,46.501831,91.869269,91.660271,-0.097059,70,30,0
34.817826,-85.714286,0.002017,-75.935829,-0.1134,25.416667,22.614638,91.70078,91.75343,91.727731,91.735596,91.75073,45.96161,91.861388,91.645472,-0.123519,60,20,1
40.385238,-76.190476,-0.000569,-50.947867,-0.1215,39.305556,29.058642,91.70078,91.74128,91.719925,91.731033,91.73318,43.980339,91.837884,91.644676,-0.132307,50,10,0
33.942683,-94.444444,-0.005174,-75.117371,-0.1296,33.650794,32.791005,91.69916,91.72832,91.708438,91.721409,91.71941,42.975076,91.820475,91.636165,-0.141165,100,0,1
41.693874,-75,-0.006784,-50.211736,-0.0972,46.031746,39.662698,91.69916,91.7186,91.703725,91.717953,91.70969,41.329956,91.798293,91.638907,-0.105883,100,0,1
55.294113,-31.25,-0.003445,90.196078,-0.0405,54.365079,44.68254,91.70888,91.71455,91.711089,91.725434,91.70483,37.951844,91.780255,91.648845,-0.044118,90,10,0
51.481906,-40,-0.002082,125.975474,-0.0486,74.603175,58.333333,91.7186,91.70969,91.716244,91.72861,91.70456,34.911543,91.756334,91.663046,-0.052946,80,0,1
61.740025,-5.882353,0.003532,184.694628,0.0891,86.928105,71.965453,91.73642,91.7186,91.732591,91.741517,91.7105,34.180993,91.789954,91.647246,0.097154,70,100,1
62.982342,-19.047619,0.008537,169.270833,0.1215,83.356676,81.629318,91.76234,91.73075,91.748791,91.75355,91.72076,34.69387,91.815935,91.645565,0.132517,60,100,0
58.743611,-28.571429,0.011069,105.555556,0.0891,79.190009,83.158263,91.78016,91.73966,91.759836,91.76045,91.73426,34.007364,91.829625,91.649695,0.097162,50,90,0
51.10112,-47.619048,0.010341,40.375587,0.0486,60.31746,74.288049,91.78016,91.74452,91.763371,91.760205,91.74776,31.0083,91.832895,91.656145,0.052993,40,80,1
57.276934,-28.571429,0.012238,25.954198,0.0972,54.901961,64.803143,91.78988,91.75424,91.771913,91.765895,91.76126,29.289529,91.839717,91.668763,0.106004,30,70,1
61.345269,-14.285714,0.015523,90.062112,0.1053,61.519608,58.91301,91.79312,91.76477,91.783105,91.774968,91.77368,26.574899,91.852025,91.677515,0.114818,20,60,0
53.760937,-33.333333,0.015336,52.830189,0.1053,71.24183,62.554466,91.78826,91.7753,91.786493,91.776501,91.78232,24.489956,91.840905,91.709695,0.114858,10,50,0
51.975945,-47.058824,0.014368,-12.987013,0.0729,69.673203,67.478214,91.78502,91.78259,91.786493,91.776283,91.7861,23.322724,91.826926,91.738254,0.079496,0,40,0
43.881639,-76.470588,0.010215,-101.754386,-0.0243,51.111111,64.008715,91.78016,91.78016,91.777804,91.768741,91.7861,23.520937,91.831491,91.728829,-0.026482,60,30,1
45.758768,-70.588235,0.007491,-121.777778,0,34.444444,51.742919,91.77044,91.78016,91.771029,91.764042,91.78448,23.699328,91.831491,91.728829,0,50,20,0
42.592756,-82.352941,0.003979,-102.503912,-0.0729,14.444444,33.333333,91.75262,91.77287,91.761309,91.757253,91.77827,23.329395,91.831302,91.714438,-0.079412,40,10,0
35.726418,-100,-0.002048,-162.962963,-0.1215,5.555556,18.148148,91.73318,91.76072,91.745551,91.744334,91.76828,24.519758,91.833818,91.687622,-0.132342,100,0,1
40.023633,-83.333333,-0.005455,-143.042071,-0.0891,7.692308,9.230769,91.7186,91.75181,91.734947,91.73671,91.75667,25.854014,91.829316,91.674304,-0.097068,100,40,1
57.420622,-22.222222,-0.000954,14.666667,0.0324,41.025641,18.091168,91.72994,91.75505,91.742164,91.746672,91.74749,24.054297,91.836131,91.673969,0.03531,90,30,0
52.781245,-38.888889,0.000644,44.660194,-0.0243,67.216117,38.644689,91.7348,91.75262,91.744373,91.750404,91.73993,22.434552,91.830582,91.674658,-0.026473,80,20,1
56.671047,-22.222222,0.003828,42.145594,-0.0243,92.857143,67.032967,91.74776,91.75019,91.751442,91.757876,91.73615,21.37436,91.821341,91.679039,-0.026466,70,10,0
40.57681,-65,-0.002122,-142.284569,-0.0972,71.190476,77.087912,91.74776,91.74047,91.739807,91.744844,91.73534,22.647725,91.81716,91.66378,-0.105902,100,0,0
