@relation spy_mahalanobis_state_1_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

34.467063,-81.071855,-0.16826,-105.14049,-0.3879,11.552325,16.729379,57.41982,57.55916,57.473084,57.504238,57.564443,35.924855,57.920657,57.197663,-0.671643,100,10,0
33.813895,-83.099093,-0.169803,-81.054536,-0.4196,19.373934,15.608335,57.38022,57.5172,57.435073,57.476213,57.511397,37.080394,57.868468,57.165932,-0.726332,90,0,0
27.016239,-100,-0.184234,-108.615064,-0.5859,18.061404,16.329221,57.28996,57.45861,57.370145,57.418738,57.450693,39.137185,57.83241,57.08481,-1.014616,100,10,1
34.892406,-83.138031,-0.185232,-94.495107,-0.5226,22.467789,19.967709,57.28204,57.40635,57.33458,57.390422,57.393157,41.038209,57.724687,57.088013,-0.904378,100,0,0
32.495465,-89.234357,-0.188952,-89.03654,-0.4434,20.994288,20.507827,57.26778,57.36201,57.297007,57.355745,57.349343,41.775007,57.658887,57.065133,-0.769216,100,0,1
40.953862,-64.506927,-0.180237,-45.465494,-0.2296,42.564372,28.675483,57.25828,57.33905,57.289096,57.348973,57.31635,41.854169,57.60911,57.06899,-0.398971,90,0,1
48.993619,-37.102689,-0.160625,61.212529,-0.0951,57.318181,40.29228,57.27886,57.32954,57.309815,57.367887,57.292857,38.828999,57.575068,57.084012,-0.165253,80,20,0
46.513655,-46.760391,-0.147211,99.893504,-0.2058,74.910904,58.264486,57.32796,57.30896,57.323644,57.374744,57.284147,36.106346,57.479623,57.138297,-0.357221,70,10,0
38.24915,-77.7653,-0.14955,-33.343585,-0.0791,60.752386,64.327157,57.32006,57.30105,57.308105,57.347245,57.289163,36.160116,57.479322,57.122778,-0.138039,60,0,0
38.24915,-77.7653,-0.149678,-63.204154,-0.0475,38.072504,57.911931,57.32482,57.2963,57.294005,57.324746,57.296293,36.208509,57.479971,57.112629,-0.082939,50,70,1
58.185452,-1.635949,-0.116499,137.35156,0.2533,46.38952,48.404803,57.38498,57.32163,57.352733,57.378301,57.315827,33.550701,57.588007,57.055253,0.441551,40,100,0
58.185452,-11.759242,-0.089177,158.101748,0.2692,68.273009,50.911678,57.41824,57.34855,57.406855,57.422119,57.342487,31.704006,57.669762,57.027338,0.469398,30,100,0
